date,1m,3m,6m,12m
2005-01,2.1110,2.1454,2.1920,2.3121
2005-02,2.1039,2.1384,2.1846,2.3100
2005-03,2.1030,2.1372,2.1918,2.3348
2005-04,2.1047,2.1372,2.1722,2.2651
2005-05,2.1041,2.1256,2.1441,2.1933
2005-06,2.1039,2.1110,2.1069,2.1028
2005-07,2.1064,2.1194,2.1345,2.1680
2005-08,2.1126,2.1325,2.1595,2.2229
2005-09,2.1152,2.1391,2.1666,2.2195
2005-10,2.1209,2.1966,2.2720,2.4136
2005-11,2.2225,2.3609,2.5002,2.6844
2005-12,2.4112,2.4729,2.6003,2.7833
2006-01,2.3885,2.5117,2.6507,2.8335
2006-02,2.4586,2.6004,2.7248,2.9141
2006-03,2.6333,2.7226,2.8720,3.1053
2006-04,2.6489,2.7938,2.9561,3.2214
2006-05,2.6926,2.8890,3.0582,3.3078
2006-06,2.8691,2.9857,3.1580,3.4005
2006-07,2.9389,3.1022,3.2875,3.5386
2006-08,3.0941,3.2265,3.4096,3.6151
2006-09,3.1572,3.3354,3.5275,3.7153
2006-10,3.3501,3.5020,3.6446,3.7992
2006-11,3.4214,3.5972,3.7281,3.8637
2006-12,3.6400,3.6842,3.7894,3.9209
2007-01,3.6159,3.7519,3.8897,4.0644
2007-02,3.6511,3.8182,3.9444,4.0935
2007-03,3.8439,3.8909,3.9963,4.1055
2007-04,3.8590,3.9753,4.0974,4.2527
2007-05,3.9194,4.0714,4.1966,4.3731
2007-06,4.0982,4.1478,4.2830,4.5055
2007-07,4.1050,4.2162,4.3585,4.5638
2007-08,4.3081,4.5436,4.5938,4.6663
2007-09,4.4339,4.7417,4.7514,4.7245
2007-10,4.2355,4.6874,4.6634,4.6467
2007-11,4.2160,4.6385,4.6297,4.6072
2007-12,4.7114,4.8484,4.8194,4.7929
2008-01,4.1973,4.4815,4.5014,4.4980
2008-02,4.1821,4.3621,4.3565,4.3489
2008-03,4.3046,4.5964,4.5930,4.5901
2008-04,4.3691,4.7835,4.7954,4.8199
2008-05,4.3874,4.8574,4.8975,4.9938
2008-06,4.4724,4.9405,5.0883,5.3608
2008-07,4.4716,4.9610,5.1482,5.3932
2008-08,4.4875,4.9652,5.1602,5.3230
2008-09,4.6599,5.0192,5.2190,5.3839
2008-10,4.8313,5.1131,5.1781,5.2478
2008-11,3.8432,4.2383,4.2947,4.3504
2008-12,2.9929,3.2926,3.3653,3.4520
2009-01,2.1418,2.4565,2.5389,2.6216
2009-02,1.6282,1.9430,2.0340,2.1354
2009-03,1.2691,1.6355,1.7745,1.9089
2009-04,1.0120,1.4223,1.6083,1.7710
2009-05,0.8844,1.2817,1.4802,1.6444
2009-06,0.9134,1.2279,1.4356,1.6105
2009-07,0.6097,0.9750,1.2129,1.4120
2009-08,0.5080,0.8605,1.1154,1.3343
2009-09,0.4551,0.7721,1.0423,1.2610
2009-10,0.4297,0.7375,1.0167,1.2426
2009-11,0.4352,0.7162,0.9931,1.2306
2009-12,0.4780,0.7120,0.9956,1.2424
2010-01,0.4370,0.6798,0.9772,1.2322
2010-02,0.4214,0.6617,0.9646,1.2252
2010-03,0.4062,0.6450,0.9524,1.2151
2010-04,0.4046,0.6447,0.9552,1.2252
2010-05,0.4230,0.6865,0.9822,1.2493
2010-06,0.4464,0.7276,1.0118,1.2813
2010-07,0.5833,0.8488,1.1042,1.3734
2010-08,0.6400,0.8955,1.1472,1.4210
2010-09,0.6181,0.8805,1.1373,1.4205
2010-10,0.7842,0.9977,1.2239,1.4954
2010-11,0.8339,1.0420,1.2690,1.5405
2010-12,0.8107,1.0217,1.2507,1.5261
2011-01,0.7928,1.0172,1.2536,1.5500
2011-02,0.8936,1.0868,1.3522,1.7140
2011-03,0.9031,1.1755,1.4833,1.9241
2011-04,1.1271,1.3212,1.6214,2.0856
2011-05,1.2434,1.4251,1.7068,2.1471
2011-06,1.2790,1.4886,1.7493,2.1441
2011-07,1.4218,1.5976,1.8182,2.1827
2011-08,1.3734,1.5521,1.7548,2.0969
2011-09,1.3472,1.5365,1.7360,2.0669
2011-10,1.3635,1.5759,1.7761,2.1101
2011-11,1.2266,1.4847,1.7065,2.0439
2011-12,1.1430,1.4261,1.6707,2.0035
2012-01,0.8362,1.2222,1.5047,1.8366
2012-02,0.6260,1.0483,1.3454,1.6783
2012-03,0.4674,0.8585,1.1637,1.4985
2012-04,0.4088,0.7443,1.0402,1.3678
2012-05,0.3938,0.6849,0.9704,1.2660
2012-06,0.3800,0.6589,0.9345,1.2190
2012-07,0.2194,0.4970,0.7794,1.0608
2012-08,0.1316,0.3324,0.6061,0.8766
2012-09,0.1188,0.2463,0.4839,0.7398
2012-10,0.1112,0.2079,0.4118,0.6501
2012-11,0.1085,0.1920,0.3604,0.5879
2012-12,0.1106,0.1855,0.3238,0.5493
2013-01,0.1125,0.2049,0.3443,0.5753
2013-02,0.1202,0.2234,0.3618,0.5942
